worker_id,worker_name,hours,pay,period_start,period_end
EMP001,John Smith,160,1280.00,2024-01-01,2024-01-31
EMP002,Jane Doe,168,1344.00,2024-01-01,2024-01-31
EMP003,Bob Johnson,152,1216.00,2024-01-01,2024-01-31
EMP004,Alice Brown,160,1280.00,2024-01-01,2024-01-31
EMP005,Charlie Wilson,176,1408.00,2024-01-01,2024-01-31
EMP006,Eva Davis,144,1152.00,2024-01-01,2024-01-31
EMP007,Frank Miller,160,1280.00,2024-01-01,2024-01-31
EMP008,Grace Lee,168,1344.00,2024-01-01,2024-01-31
EMP009,Henry Taylor,152,1216.00,2024-01-01,2024-01-31
EMP010,Iris White,160,1280.00,2024-01-01,2024-01-31
